signal_time,entry_time,exit_time,side,entry,exit,stop,target,r_multiple,result,grade,mtf_score,alignment
2026-02-24T09:45:00+05:30,2026-02-24T09:45:00+05:30,2026-02-24T09:49:00+05:30,SELL,25500.3,25533.042857142857,25533.042857142857,25459.371428571427,-1.0,LOSS,A,65,INTRADAY ALIGNED
2026-02-24T10:15:00+05:30,2026-02-24T10:15:00+05:30,2026-02-24T11:23:00+05:30,SELL,25484.0,25517.782142857144,25517.782142857144,25441.772321428572,-1.0,LOSS,A,65,INTRADAY ALIGNED
2026-02-24T12:20:00+05:30,2026-02-24T12:20:00+05:30,2026-02-24T12:25:00+05:30,SELL,25445.05,25421.63482142857,25463.782142857144,25421.63482142857,1.25,WIN,A,65,INTRADAY ALIGNED
2026-02-24T12:30:00+05:30,2026-02-24T12:30:00+05:30,2026-02-24T12:47:00+05:30,SELL,25429.3,25404.621428571427,25449.042857142857,25404.621428571427,1.25,WIN,A,65,INTRADAY ALIGNED
2026-02-24T12:50:00+05:30,2026-02-24T12:50:00+05:30,2026-02-24T13:04:00+05:30,SELL,25392.8,25412.87857142857,25412.87857142857,25367.701785714286,-1.0,LOSS,A,65,INTRADAY ALIGNED
2026-02-24T13:25:00+05:30,2026-02-24T13:25:00+05:30,2026-02-24T13:31:00+05:30,SELL,25397.75,25373.254464285714,25417.34642857143,25373.254464285714,1.25,WIN,A,65,INTRADAY ALIGNED
2026-02-24T13:35:00+05:30,2026-02-24T13:35:00+05:30,2026-02-24T13:39:00+05:30,SELL,25339.85,25360.78214285714,25360.78214285714,25313.68482142857,-1.0,LOSS,A,65,INTRADAY ALIGNED
2026-02-24T13:40:00+05:30,2026-02-24T13:40:00+05:30,2026-02-24T13:57:00+05:30,SELL,25377.65,25401.107142857145,25401.107142857145,25348.328571428574,-1.0,LOSS,A,65,INTRADAY ALIGNED
2026-02-25T10:00:00+05:30,2026-02-25T10:00:00+05:30,2026-02-25T10:17:00+05:30,BUY,25600.85,25638.908035714285,25570.40357142857,25638.908035714285,1.25,WIN,A,65,INTRADAY ALIGNED
2026-02-25T10:20:00+05:30,2026-02-25T10:20:00+05:30,2026-02-25T10:49:00+05:30,BUY,25638.9,25607.89642857143,25607.89642857143,25677.654464285715,-1.0,LOSS,A,65,INTRADAY ALIGNED
