signal_time,entry_time,exit_time,side,entry,exit,stop,target,r_multiple,result,grade,mtf_score,alignment
2023-01-03T09:55:00+05:30,2023-01-03T09:55:00+05:30,2023-01-03T10:14:00+05:30,BUY,18204.95,18229.883035714287,18185.003571428573,18229.883035714287,1.25,WIN,A,65,INTRADAY ALIGNED
2023-01-03T10:15:00+05:30,2023-01-03T10:15:00+05:30,2023-01-03T11:46:00+05:30,BUY,18230.1,18231.35,18211.267857142855,18253.640178571426,0.0664,TIME_EXIT,A,65,INTRADAY ALIGNED
2023-01-04T10:00:00+05:30,2023-01-04T10:00:00+05:30,2023-01-04T10:24:00+05:30,SELL,18127.55,18147.167857142857,18147.167857142857,18103.027678571427,-1.0,LOSS,A,65,INTRADAY ALIGNED
2023-01-04T10:45:00+05:30,2023-01-04T10:45:00+05:30,2023-01-04T11:05:00+05:30,SELL,18141.75,18117.741071428572,18160.957142857143,18117.741071428572,1.25,WIN,A,65,INTRADAY ALIGNED
2023-01-04T11:10:00+05:30,2023-01-04T11:10:00+05:30,2023-01-04T11:55:00+05:30,SELL,18098.1,18078.983928571426,18113.392857142855,18078.983928571426,1.25,WIN,A,80,INTRADAY ALIGNED
2023-01-04T12:00:00+05:30,2023-01-04T12:00:00+05:30,2023-01-04T12:05:00+05:30,SELL,18076.4,18060.395535714288,18089.203571428574,18060.395535714288,1.25,WIN,A,80,INTRADAY ALIGNED
2023-01-04T12:10:00+05:30,2023-01-04T12:10:00+05:30,2023-01-04T12:21:00+05:30,SELL,18044.05,18058.246428571427,18058.246428571427,18026.304464285713,-1.0,LOSS,A,80,INTRADAY ALIGNED
2023-01-04T12:35:00+05:30,2023-01-04T12:35:00+05:30,2023-01-04T12:46:00+05:30,SELL,18049.75,18062.946428571428,18062.946428571428,18033.254464285714,-1.0,LOSS,A,80,INTRADAY ALIGNED
2023-01-05T11:05:00+05:30,2023-01-05T11:05:00+05:30,2023-01-05T11:36:00+05:30,SELL,18027.5,18002.785714285714,18047.27142857143,18002.785714285714,1.25,WIN,A,80,INTRADAY ALIGNED
2023-01-05T11:40:00+05:30,2023-01-05T11:40:00+05:30,2023-01-05T11:44:00+05:30,SELL,18006.5,18020.139285714286,18020.139285714286,17989.45089285714,-1.0,LOSS,A,80,INTRADAY ALIGNED
2023-01-05T11:55:00+05:30,2023-01-05T11:55:00+05:30,2023-01-05T12:25:00+05:30,SELL,17983.2,17964.963392857146,17997.789285714287,17964.963392857146,1.25,WIN,A,80,INTRADAY ALIGNED
2023-01-05T12:30:00+05:30,2023-01-05T12:30:00+05:30,2023-01-05T12:43:00+05:30,SELL,17957.05,17937.16607142857,17972.957142857143,17937.16607142857,1.25,WIN,A+,90,INTRADAY ALIGNED
2023-01-05T12:45:00+05:30,2023-01-05T12:45:00+05:30,2023-01-05T13:14:00+05:30,SELL,17940.35,17955.97142857143,17955.97142857143,17920.823214285712,-1.0,LOSS,A+,90,INTRADAY ALIGNED
2023-01-05T13:20:00+05:30,2023-01-05T13:20:00+05:30,2023-01-05T13:25:00+05:30,SELL,17926.15,17905.55625,17942.625,17905.55625,1.25,WIN,A+,90,INTRADAY ALIGNED
